,m2_idx,walcl_idx,cpi_idx,pwr_idx,inc_idx
2010-01-01,100.0,,100.0,100.0,100.0
2010-01-06,,100.0,,,
2010-01-13,,102.52296779319504,,,
2010-01-20,,100.73824410460502,,,
2010-01-27,,100.51813981453977,,,
2010-02-01,100.58506434528232,,99.90482233502537,100.0952683391553,
2010-02-03,,100.6269840701757,,,
2010-02-10,,100.9562457723871,,,
2010-02-17,,101.89101795549958,,,
2010-02-24,,102.27365047438737,,,
2010-03-01,100.54024086721634,,99.93792760979917,100.06211094394831,
2010-03-03,,102.00612534134059,,,
2010-03-10,,102.11022751267838,,,
2010-03-17,,103.25204088571398,,,
2010-03-24,,103.48252407726197,,,
2010-03-31,,103.21414894797307,,,
2010-04-01,100.90944477865457,,99.96091738394762,100.03909789653316,
2010-04-07,,103.23316202181002,,,
2010-04-14,,104.65444521192644,,,
2010-04-21,,104.57441135523399,,,
2010-04-28,,104.25749696685551,,,
2010-05-01,101.54876912370099,,99.9089604943721,100.09112246306779,
2010-05-05,,104.06477150311547,,,
2010-05-12,,104.50940901103385,,,
2010-05-19,,105.17092977062627,,,
2010-05-26,,104.41716205044148,,,
2010-06-01,101.7740660792432,,99.8671191054219,100.13305770284394,
2010-06-02,,104.51446425184226,,,
2010-06-09,,104.3047835999041,,,
2010-06-16,,104.8768310708521,,,
2010-06-23,,104.88492840347443,,,
2010-06-30,,104.27445215505362,,,
2010-07-01,101.90853651344113,,100.05379607150739,99.9462328531054,
2010-07-07,,104.32661508233332,,,
2010-07-14,,104.7158238879365,,,
2010-07-21,,104.3402597588516,,,
2010-07-28,,104.02602956913243,,,
2010-08-01,102.47944607617632,,100.20001103509159,99.80038821051473,
2010-08-04,,104.07886354607696,,,
2010-08-11,,104.12601596919255,,,
2010-08-18,,103.50547397579926,,,
2010-08-25,,102.93968963505635,,,
2010-09-01,102.84275216155325,102.98357628313643,100.36185904509674,99.63944565341886,
2010-09-08,,103.15384395142675,,,
2010-09-15,,102.71886955868194,,,
2010-09-22,,103.21508841750384,,,
2010-09-29,,102.83572167365156,,,
2010-10-01,103.42899607204782,,100.7113036121533,99.29372018170614,
2010-10-06,,103.25629086692459,,,
2010-10-13,,103.33650367019429,,,
2010-10-20,,103.12812038094148,,,
2010-10-27,,102.6881354840326,,,
2010-11-01,103.67198650577396,,100.9664901052012,99.04276151008699,
2010-11-03,,102.91007397651506,,,
2010-11-10,,103.46547941577522,,,
2010-11-17,,103.55446060133208,,,
2010-11-24,,104.95221231653503,,,
2010-12-01,104.07539780836782,104.99332529266712,101.37202972118003,98.64654015022315,
2010-12-08,,106.57583934892077,,,
2010-12-15,,106.7306281382756,,,
2010-12-22,,108.61703821940998,,,
2010-12-29,,108.28817914699746,,,
2011-01-01,104.37972563313163,,101.70078349150297,98.32765940132106,98.54155200880572
2011-01-05,,108.9813287141257,,,
2011-01-12,,110.41589868760579,,,
2011-01-19,,108.49369929101367,,,
2011-01-26,,109.31519829070228,,,
2011-02-01,105.13818606461656,,102.02769807989407,98.01260038396019,
2011-02-02,,110.4735194854928,,,
2011-02-09,,111.8631291314291,,,
2011-02-16,,112.23833536735943,,,
2011-02-23,,113.32780686653807,,,
2011-03-01,105.8246930181535,,102.55554329434267,97.50813733489953,
2011-03-02,,113.86008346068364,,,
2011-03-09,,115.28973240328833,,,
2011-03-16,,115.55681016989188,,,
2011-03-23,,116.3752670777666,,,
2011-03-30,,117.32287867779954,,,
2011-04-01,106.57489649315262,,103.0369491650114,97.05256299839799,
2011-04-06,,118.49287613675814,,,
2011-04-13,,119.24140966955726,,,
2011-04-20,,120.15287406097784,,,
2011-04-27,,120.38563882138627,,,
2011-05-01,107.43244040246762,,103.36478334436843,96.74474880563685,
2011-05-04,,121.6280649075025,,,
2011-05-11,,122.77963086900037,,,
2011-05-18,,123.38406767043766,,,
2011-05-25,,124.14400904753894,,,
2011-06-01,108.30885735517887,124.75810896414986,103.36478334436843,96.74474880563685,
2011-06-08,,125.76392293844596,,,
2011-06-15,,126.49505391660374,,,
2011-06-22,,127.7858850518766,,,
2011-06-29,,128.18171488083948,,,
